"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка входа в систему с негативными данными","563","Проверка входа в систему с негативными данными","Sauce Demo","2026-06-01","passed","2026-06-01","tests.LoginTest","Chrome","tests.LoginTest","negativeLogin"
"Проверка добавления и удаления товаров из корзины","997","Проверка добавления и удаления товаров из корзины","Sauce Demo","2026-06-01","passed","2026-06-01","tests.CartTest","Edge","tests.CartTest","checkAddRemoveProductsFromCart"
"Проверка добавления товара в корзину","892","Проверка добавления товара в корзину","Sauce Demo","2026-06-01","passed","2026-06-01","tests.CartTest","Edge","tests.CartTest","checkCart"
"Проверка входа в систему с позитивными кредами","1740","Проверка входа в систему с позитивными кредами","Sauce Demo","2026-06-01","passed","2026-06-01","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithPositiveCred"
"Проверка перехода в корзину из Products Page","820","Проверка перехода в корзину из Products Page","Sauce Demo","2026-06-01","passed","2026-06-01","tests.CartTest","Edge","tests.CartTest","checkCartPage"
"Проверка входа в систему с негативными данными","553","Проверка входа в систему с негативными данными","Sauce Demo","2026-06-01","passed","2026-06-01","tests.LoginTest","Chrome","tests.LoginTest","negativeLogin"
"Проверка оформления заказа с позитивными данными","3804","Проверка оформления заказа с позитивными данными","Sauce Demo","2026-06-01","passed","2026-06-01","tests.CheckoutTest","Edge","tests.CheckoutTest","checkCheckoutWithPositiveData"
"Проверка оформления заказа с негативными данными","1300","Проверка оформления заказа с негативными данными","Sauce Demo","2026-06-01","passed","2026-06-01","tests.CheckoutTest","Edge","tests.CheckoutTest","negativeCheckout"
"Проверка отображения количества товаров в Products Page","590","Проверка отображения количества товаров в Products Page","Sauce Demo","2026-06-01","passed","2026-06-01","tests.ProductsTest","Chrome","tests.ProductsTest","checkProductsCount"
"Проверка входа в систему с негативными данными","557","Проверка входа в систему с негативными данными","Sauce Demo","2026-06-01","passed","2026-06-01","tests.LoginTest","Chrome","tests.LoginTest","negativeLogin"
"Проверка оформления заказа с негативными данными","1234","Проверка оформления заказа с негативными данными","Sauce Demo","2026-06-01","passed","2026-06-01","tests.CheckoutTest","Edge","tests.CheckoutTest","negativeCheckout"
"Проверка оформления заказа с негативными данными","1283","Проверка оформления заказа с негативными данными","Sauce Demo","2026-06-01","passed","2026-06-01","tests.CheckoutTest","Edge","tests.CheckoutTest","negativeCheckout"
